TF,TFCommon,Bound Size,DE Size,Intersection,FDR Lower Bound,HypergeometricPVal,Response Rate,Relative Risk,Fold Enrichment,Jaccard Similarity,Genes
YHR006W,STP2,102,155,6,0.4161069317571198,0.063416412894549953,0.058823529411764705,1.113592057636144,2.118785578747628,0.02390438247011952,"['CDC50', 'MRPL44', 'MSH4', 'MUD1', 'SMT3', 'SPO19']"
YHR084W,STE12,272,69,6,0.4856036181264553,0.11822354159781366,0.022058823529411766,0.89498755006372555,1.784846547314578,0.01791044776119403,"['ATG19', 'FRE2', 'HIM1', 'MDM30', 'PSA1', 'RRN10']"
YHR124W,NDT80,494,164,23,0.490036231884058,0.01716639158252203,0.0465587044534413,0.74880984805074025,1.5849832131924557,0.03622047244094488,"['ABP140', 'AIM21', 'BUD5', 'CAM1', 'CLC1', 'EBP2', 'GLE2', 'GYL1', 'HGH1', 'KRI1', 'MRP2', 'MTF1', 'NOP4', 'PER1', 'PXL1', 'RDS2', 'RRP1', 'SMF1', 'SRB8', 'TLG2', 'TRM10', 'YDR056C', 'YNR063W']"
YHR178W,STB5,133,122,7,0.3600550779150994,0.025816402454664874,0.05263157894736842,1.3186229501636901,2.408541846419327,0.028225806451612902,"['DUG2', 'LCD1', 'MET16', 'SLI15', 'SYP1', 'TAE2', 'YPD1']"
YHR206W,SKN7,96,298,10,0.42699713415726315,0.031144660446891952,0.10416666666666667,0.98884245319376662,1.9515520134228188,0.026041666666666668,"['ACT1', 'CLN1', 'ENT2', 'SPO20', 'TCD1', 'UFO1', 'USV1', 'UTH1', 'YBL029W', 'YMR122C']"
YIL036W,CST6,256,159,11,0.5729538127106638,0.11218833506202734,0.04296875,0.62908581856949708,1.508770636792453,0.027227722772277228,"['IRC22', 'MBA1', 'MDR1', 'PMT5', 'REC104', 'RIF1', 'RSM10', 'TRS65', 'VBA3', 'YCP4', 'YFH7']"
YIL101C,XBP1,857,273,45,0.6908375126873246,0.32246286341053487,0.052508751458576426,0.12221560202627978,1.0738328182902277,0.041474654377880185,"['AFG2', 'AOR1', 'APT2', 'ARE2', 'BCK2', 'BFR2', 'CBF2', 'COQ2', 'CYT1', 'DCD1', 'DLS1', 'ECM27', 'GIP2', 'HAP2', 'HCH1', 'ISU1', 'LGE1', 'MCR1', 'MNN1', 'MOD5', 'MRPL32', 'MVD1', 'PET112', 'PHO90', 'PMA1', 'POT1', 'PRP8', 'PSD2', 'QDR2', 'RFT1', 'RPL42a', 'RRT12', 'RTC3', 'SEC23', 'SFT2', 'SKN1', 'SLM2', 'SOL4', 'TOS8', 'YEL067C', 'YIG1', 'YIR016W', 'YKR005C', 'YRF1-1', 'YRF1-3']"
YIL119C,RPI1,589,141,18,0.6680025673174518,0.22803925472639452,0.030560271646859084,0.31126677820082416,1.2100567135064841,0.025280898876404494,"['COX14', 'GLG1', 'IST1', 'MRPL19', 'NPL6', 'PDR17', 'RDS3', 'RSC58', 'RTT10', 'SHR5', 'SPE3', 'SUM1', 'TDA8', 'VIP1', 'VPS24', 'WSC3', 'YBR184W', 'YGL138C']"
YIL128W,MET18,2,5583,2,1,1,0,0,0,0,"['YER189W', 'YRF1-2']"
YIL131C,FKH1,477,256,37,0.43737897623577365,0.00090219864343932807,0.07756813417190776,0.85479867242938368,1.691651926100629,0.05316091954022988,"['AAD15', 'ALG5', 'BBC1', 'BDH1', 'BUD9', 'CCW14', 'CPR7', 'CSM1', 'DBF20', 'DIG2', 'ERG10', 'FKS3', 'FMP27', 'FSH1', 'FUS1', 'IFM1', 'IRS4', 'MGS1', 'MIH1', 'MSG5', 'MSH3', 'PNP1', 'PPQ1', 'RMI1', 'RPS21a', 'RPS22a', 'SAP4', 'TDA7', 'TID3', 'TIF1', 'TIR3', 'VTC1', 'YBL059W', 'YJL147C', 'YML131W', 'YPT1', 'ZWF1']"
