,YBR033W,YDR034C,YEL009C,YIL036W,YJL056C,YJR060W,YKL038W,YLR403W,YLR451W,YMR182C,YNL199C,YOL108C,YOR344C,YPL075W,YPL248C
YGR247W,0.0023472469655,0.126847167523,0.00294637460986,4.86672333456e-05,0.026677582121599996,0.07647200639639999,0.016872849877500002,0.250086560382,0.006244421576910001,0.077219069182,0.036512913434599996,0.11322400609099999,0.107986707914,0.241195886956,0.0401275114203
YGR248W,0.034801923904,0.276850340737,0.0959320853938,0.005437804066560001,0.75807696187,0.0251714074978,0.0375025090427,1.10121362253,0.144440767545,0.456026358517,0.525525968361,1.2448139036,0.8193548989339999,0.0627478596981,0.393170429669
YGR249W,0.0753297102673,0.14921703775599998,0.0491581721074,6.93210110396,0.337899730629,0.116682803395,0.182210419442,0.20728520698,11.3495082168,13.4059829271,0.253338157522,0.614568477378,0.514371201621,0.31709077323,0.50887844581
YGR250C,2.2744926900999998,2.1314095289400004,1.4737421944100002,1.04796000684e-05,0.422324303447,0.6978761790000001,0.00756214712406,1.38921881861,0.165878396449,0.034187282165099996,5.03959027619,0.00843829711373,0.42119842263400004,0.451185076549,0.447837860583
YGR251W,0.500340321475,0.33831849982699996,0.634613200378,0.0156701622774,0.508552181416,0.18890212368700002,0.0689154360574,2.0630432292,1.03731326341,0.648639724742,4.13182277217,0.510565996846,1.6400983037799999,1.6725978050499999,0.493604459256
YGR252W,0.421111028991,1.00445263398,0.040880453448900005,0.000394928737095,0.18951598700599998,0.004614220891729999,0.0444305878215,0.023652332437800003,0.0161906879655,0.148719985445,0.00562631002785,0.0512532234863,0.657904243439,0.41689808673100004,0.31396016036200003
YGR253C,0.463990441178,0.054805128101199994,0.067197006901,1.94131357382e-05,0.32703525405699996,0.00618427435047,0.00107679649901,0.283007528616,0.007090798233520001,0.217438616568,0.869814978379,0.0829328468636,0.8620559663189999,0.10865476996500001,0.0288179664647
YGR254W,0.270558272611,0.10743363077299999,0.25848989074,7.15160618537e-05,4.621712808440001,2.0751206468400003,4.4274695952e-06,0.115421695689,0.00280212339119,0.019043255426599997,20.014513113699998,1.1471309217899999,20.008283741,20.0168001903,0.178760358852
YGR255C,0.0489342878235,0.22733982926600002,0.228408658192,0.00700808275856,0.217505054849,0.0029428036879499994,0.0239173255351,0.249145334091,0.0145938720312,0.328009769734,0.818793090566,0.10317918528100001,0.7578791297149999,1.0517966288,0.205673759982
YGR256W,0.0489342878235,0.22733982926600002,0.228408658192,0.00700808275856,0.217505054849,0.0029428036879499994,0.0239173255351,0.249145334091,0.0145938720312,0.328009769734,0.818793090566,0.10317918528100001,0.7578791297149999,1.0517966288,0.205673759982
YGR257C,0.141323165996,0.19223814807300002,0.721801155075,0.0521939622231,0.472660217614,0.101398227881,0.05649371145280001,0.571610063861,0.0005743446821599999,0.08767497771119999,0.241839323163,0.218092799563,0.022833764390099997,0.10411679997199999,0.04743905687199999
YGR258C,0.424399124722,0.074645377597,0.0007520810269330001,5.34790267476e-08,0.07618597748650001,7.44312049378e-05,0.000423913422597,0.0672536516766,0.00146878500454,0.150130394882,0.41068350395900005,0.14705979161,0.0816647315366,0.462656688109,0.0589487433512
YGR259C,0.7901063091830001,0.421624925735,0.409195029219,0.175484925942,0.25332025215500004,0.104974694757,0.409585746889,1.12160205274,0.22144697139299999,0.9811164722490001,0.361804742094,0.254222550739,0.17070561106600002,0.175144856678,0.8298902528129999
YGR260W,0.532228439455,0.549070500529,0.052403435626699996,0.0037772866137399997,0.653205499211,0.00278709278819,0.009167593679229999,0.696696734848,0.19961340085499998,0.00501368177962,14.7795652802,0.456304976344,2.51509584374,20.0020832539,0.0260407967415
YGR261C,1.051430363,0.627332989448,2.21536424794,1.4313479607,1.30372096436,0.382894418116,0.414269143512,0.377136150493,1.17152787205,0.37598919730499997,1.79852423434,2.24723676703,1.15466195646,0.460023739818,0.308013220729
YGR262C,0.39586994314999996,0.421624925735,0.409195029219,0.04620782587069999,0.7051634476880001,0.104974694757,0.13091842339,0.330318430635,1.02143465036,0.567906486897,0.361804742094,0.254222550739,0.17070561106600002,0.175144856678,0.520423762917
YGR263C,0.0189276282391,0.229590712608,0.109778999535,0.0019015310767500002,0.28440179252500003,0.0127082427604,0.0913089146673,0.056371797801900006,0.00909778439466,0.7379598029250001,0.014825184094200002,0.08429296064410001,0.338493980479,0.0388884960283,0.58072177812
YGR264C,0.753293978898,0.561324852484,0.348594796175,0.019396177623700002,1.2423458300599999,0.0348077954696,0.152444750745,0.571610063861,0.17580282101,0.08767497771119999,0.42289471866800005,0.475408689277,0.7447865594859999,0.47837789734999997,0.179277926211
YGR265W,0.7416758695110001,0.7416758695110001,2.93991370568,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.7416758695110001,0.37598919730499997,0.7416758695110001,0.7416758695110001,1.7564308136200002,0.7416758695110001,0.308013220729
YGR266W,0.674957337665,0.649971206122,0.357122759539,0.042196900811400005,1.49063076333,0.06102955815830001,0.22821909331999998,0.152168091689,0.20921229573300001,0.170961314727,0.35613141189,0.286076884907,0.611746056505,0.631985183548,0.363461989069
